Austria;CTY%7C10YAT-APG------L!CTY%7C10YAT-APG------L;;;;;
Denmark;CTY%7C10Y1001A1001A65H!CTY%7C10Y1001A1001A65H;;;;CTY%7C10YIT-GRTN-----B!CTY%7C10YIT-GRTN-----B;
France;CTY%7C10YFR-RTE------C!CTY%7C10YFR-RTE------C;;;;CTY%7C10YAT-APG------L!CTY%7C10YAT-APG------L;
Germany;CTY%7C10Y1001A1001A83F!CTY%7C10Y1001A1001A83F;;;;;
Greece;CTY%7C10YGR-HTSO-----Y!CTY%7C10YGR-HTSO-----Y;;;;;
Hungary;CTY%7C10YHU-MAVIR----U!CTY%7C10YHU-MAVIR----U;;;;;
Italy;CTY%7C10YIT-GRTN-----B!CTY%7C10YIT-GRTN-----B;;;;;
Norway;CTY%7C10YNO-0--------C!CTY%7C10YNO-0--------C;;;;;
Poland;CTY%7C10YPL-AREA-----S!CTY%7C10YPL-AREA-----S;;;;;
Portugal;CTY%7C10YPT-REN------W!CTY%7C10YPT-REN------W;;;;;
Spain;CTY%7C10YES-REE------0!CTY%7C10YES-REE------0;;;;;
Sweden;CTY%7C10YSE-1--------K!CTY%7C10YSE-1--------K;;;;;
Switzerland;CTY%7C10YCH-SWISSGRIDZ!CTY%7C10YCH-SWISSGRIDZ;;;;;
UK;CTY%7CGB!CTY%7CGB;;;;;
